Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_02x20_Odd_Even","PinSocket_2x20_P2.54mm_Vertical",127.895000,-67.795000,-90.000000,bottom
"J5","Conn_01x02","Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical",152.695000,-133.030000,90.000000,bottom
"J25","Conn_01x05","Molex_PicoBlade_53047-0510_1x05_P1.25mm_Vertical",137.750000,-129.450000,180.000000,bottom
"C1","2.2uF+/35V+","C_0805_2012Metric",190.400000,-123.221066,90.000000,top
"C2","10uf","C_0805_2012Metric",98.100000,-69.270000,90.000000,top
"C3","2.2uF+/35V+","C_0805_2012Metric",138.527673,-57.722425,-90.000000,top
"C4","2.2uF+/35V+","C_0805_2012Metric",150.900000,-57.800000,-90.000000,top
"C5","2.2uF+/35V+","C_0805_2012Metric",162.750000,-57.720000,-90.000000,top
"C6","2.2uF+/35V+","C_0805_2012Metric",174.475000,-57.750000,-90.000000,top
"C7","2.2uF+/35V+","C_0805_2012Metric",187.350000,-58.670000,-90.000000,top
"C9","2.2uF+/35V+","C_0805_2012Metric",163.850000,-124.953934,90.000000,top
"C10","2.2uF+/35V+","C_0805_2012Metric",177.460000,-125.100000,90.000000,top
"D1","LED_Green","LED_0201_0603Metric",139.795000,-47.550000,180.000000,top
"D2","LED_Green","LED_0201_0603Metric",95.900000,-66.550000,0.000000,top
"D3","LED_Red","LED_0201_0603Metric",139.795000,-48.800000,0.000000,top
"D4","SM4002","D_SOD-123F",139.667327,-50.927575,0.000000,top
"D5","LED_Green","LED_0201_0603Metric",151.680000,-47.550000,180.000000,top
"D6","LED_Red","LED_0201_0603Metric",151.687005,-48.850000,0.000000,top
"D7","SM4002","D_SOD-123F",151.825000,-50.902575,0.000000,top
"D8","LED_Red","LED_0201_0603Metric",188.650000,-133.350000,180.000000,top
"D9","LED_Green","LED_0201_0603Metric",163.845000,-47.550000,180.000000,top
"D10","LED_Red","LED_0201_0603Metric",163.845000,-48.850000,0.000000,top
"D11","SM4002","D_SOD-123F",163.950000,-50.900000,0.000000,top
"D12","LED_Green","LED_0201_0603Metric",175.682500,-47.550000,180.000000,top
"D13","LED_Red","LED_0201_0603Metric",175.711831,-48.850000,0.000000,top
"D14","SM4002","D_SOD-123F",175.625000,-50.902575,0.000000,top
"D15","LED_Green","LED_0201_0603Metric",188.082500,-47.500000,180.000000,top
"D16","LED_Red","LED_0201_0603Metric",188.125000,-48.800000,0.000000,top
"D17","SM4002","D_SOD-123F",188.027500,-50.827575,0.000000,top
"D18","LED_Green","LED_0201_0603Metric",188.667500,-134.650000,0.000000,top
"D19","SM4002","D_SOD-123F",188.600000,-131.333566,180.000000,top
"D21","LED_Green","LED_0201_0603Metric",162.980000,-134.553934,0.000000,top
"D22","LED_Red","LED_0201_0603Metric",162.970000,-133.203934,180.000000,top
"D23","SM4002","D_SOD-123F",163.000000,-130.853934,180.000000,top
"D24","LED_Green","LED_0201_0603Metric",176.127500,-134.550000,0.000000,top
"D25","LED_Red","LED_0201_0603Metric",176.110000,-133.150000,180.000000,top
"D26","SM4002","D_SOD-123F",176.110000,-131.150000,180.000000,top
"F1","Fuse","Fuse_0805_2012Metric",136.277673,-57.700000,-90.000000,top
"F2","Fuse","Fuse_0805_2012Metric",148.800000,-57.750000,-90.000000,top
"F3","Fuse","Fuse_0805_2012Metric",160.550000,-57.700000,-90.000000,top
"F4","Fuse","Fuse_0805_2012Metric",172.125000,-57.725000,-90.000000,top
"F5","Fuse","Fuse_0805_2012Metric",166.100000,-124.953934,90.000000,top
"F6","Fuse","Fuse_0805_2012Metric",185.050000,-58.650000,-90.000000,top
"F7","Fuse","Fuse_0805_2012Metric",179.710000,-125.100000,90.000000,top
"F8","Fuse","Fuse_0805_2012Metric",192.800000,-123.201066,90.000000,top
"J2","Conn_01x02","Molex_Micro-Latch_53253-0270_1x02_P2.00mm_Vertical_3D_model",189.600000,-137.778934,180.000000,top
"J3","Conn_01x08_Male","JST_SH_BM08B-SRSS-TB_1x08-1MP_P1.00mm_Vertical_3D",90.425000,-83.050000,90.000000,top
"J4","Conn_01x02","AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",124.150000,-47.350000,0.000000,top
"J6","Conn_01x06_Female","PinSocket_1x06_P2.54mm_Vertical",132.725000,-117.075000,90.000000,top
"J7","Conn_01x06_Female","PinSocket_1x06_P2.54mm_Vertical",132.725000,-99.275000,90.000000,top
"J8","Conn_01x07_Female","PinSocket_1x07_P2.54mm_Vertical",99.940000,-106.050000,90.000000,top
"J9","Conn_01x08_Male","JST_SH_BM08B-SRSS-TB_1x08-1MP_P1.00mm_Vertical_3D",178.825000,-83.050000,-90.000000,top
"J10","Conn_01x02","Molex_Micro-Latch_53253-0270_1x02_P2.00mm_Vertical_3D_model",138.645000,-44.375000,0.000000,top
"J12","Conn_01x02","Molex_Micro-Latch_53253-0270_1x02_P2.00mm_Vertical_3D_model",150.834375,-44.375000,0.000000,top
"J13","Conn_01x08_Male","JST_SH_BM08B-SRSS-TB_1x08-1MP_P1.00mm_Vertical_3D",90.425000,-96.350000,90.000000,top
"J14","Conn_01x08_Male","JST_SH_BM08B-SRSS-TB_1x08-1MP_P1.00mm_Vertical_3D",178.825000,-96.350000,-90.000000,top
"J15","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",105.170000,-43.950000,90.000000,top
"J16","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",94.980000,-45.250000,-90.000000,top
"J17","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",94.980000,-48.920500,-90.000000,top
"J18","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",94.980000,-52.591000,-90.000000,top
"J19","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",94.980000,-56.261500,-90.000000,top
"J20","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",94.980000,-59.932000,-90.000000,top
